year,index,rate
2019,1.0542,0.015
2018,1.0389,0.019
2017,1.0195999999999998,0.017
2016,1.0025,0.002
2015,1,0.001
2014,0.9990000000000001,0.006
2013,0.9934999999999999,0.015
2012,0.9788,0.026000000000000002
2011,0.9536,0.031
2010,0.92489999999999994,0.021
2009,0.9059999999999999,0.01
2008,0.8972,0.037000000000000005
2007,0.8654999999999999,0.023
2006,0.8458,0.022000000000000002
2005,0.8275,0.022000000000000002
2004,0.81,0.02
2003,0.794,0.02
2002,0.7787000000000001,0.021
2001,0.7629,0.022000000000000002
2000,0.7465,0.019
1999,0.7326,0.012
1998,0.7240000000000001,0.013000000000000001
1997,0.7148,0.017
1996,0.7026,NA
